Date,Open,High,Low,Close,Adj Close,Volume
1991-05-01,5.937500,6.046875,5.171875,5.875000,2.700327,56949600
1991-06-01,5.843750,6.234375,5.500000,5.593750,2.571057,26882400
1991-07-01,5.578125,6.375000,5.484375,6.171875,2.930002,42335200
1991-08-01,6.203125,7.046875,6.015625,6.968750,3.308308,30362400
1991-09-01,6.968750,6.968750,6.093750,6.953125,3.300888,25736800
1991-10-01,6.937500,7.500000,6.531250,7.500000,3.663368,30707200
1991-11-01,7.500000,7.593750,6.812500,7.406250,3.617576,30212800
1991-12-01,7.375000,8.031250,7.312500,8.031250,3.922855,25656000
1992-01-01,8.000000,8.125000,7.312500,7.546875,3.791756,36561600
1992-02-01,7.531250,8.281250,7.531250,8.000000,4.019418,28508800
1992-03-01,8.046875,8.093750,7.593750,8.031250,4.035118,20851200
1992-04-01,8.031250,8.812500,7.687500,8.812500,4.549182,27212000
1992-05-01,8.812500,9.437500,8.218750,9.281250,4.791162,34128000
1992-06-01,9.187500,9.687500,8.687500,8.937500,4.613710,33159200
1992-07-01,8.968750,9.500000,8.406250,9.125000,4.770691,32939200
1992-08-01,9.125000,9.437500,8.562500,9.000000,4.705338,10423200
1992-09-01,9.062500,9.750000,8.968750,9.218750,4.819705,19784800
1992-10-01,9.218750,9.375000,8.843750,9.062500,4.793151,19626800
1992-11-01,9.125000,10.750000,9.000000,10.687500,5.652614,23273600
1992-12-01,10.750000,11.218750,10.125000,10.937500,5.784838,18429200
1993-01-01,10.875000,11.187500,10.250000,11.125000,5.948348,15275200
1993-02-01,11.093750,12.281250,11.093750,11.812500,6.315946,28406800
1993-03-01,11.812500,11.875000,11.093750,11.125000,5.948348,25550800
1993-04-01,11.125000,11.437500,7.562500,8.812500,4.762270,99158400
1993-05-01,8.812500,9.125000,7.687500,7.718750,4.171211,50421600
1993-06-01,7.812500,8.312500,7.312500,8.281250,4.475184,46212400
1993-07-01,8.312500,8.687500,7.937500,8.656250,4.754494,27687200
1993-08-01,8.656250,8.781250,8.187500,8.500000,4.668675,22189200
1993-09-01,8.437500,8.937500,8.375000,8.906250,4.891812,29439600
1993-10-01,8.843750,9.875000,8.843750,9.625000,5.367787,32713600
1993-11-01,9.625000,9.625000,8.843750,9.468750,5.280649,22824400
1993-12-01,9.562500,9.937500,9.187500,9.375000,5.228365,22432000
1994-01-01,9.312500,9.562500,8.781250,9.500000,5.378122,32225200
1994-02-01,9.500000,9.593750,9.156250,9.312500,5.271975,19673600
1994-03-01,9.312500,9.750000,8.812500,9.000000,5.095064,26769600
1994-04-01,8.906250,9.750000,8.593750,9.593750,5.512980,31171600
1994-05-01,9.531250,10.687500,9.531250,10.140625,5.827235,33851200
1994-06-01,10.093750,10.781250,9.593750,9.656250,5.548895,35834400
1994-07-01,9.656250,10.250000,9.406250,9.593750,5.598151,23568800
1994-08-01,9.625000,10.125000,9.531250,10.000000,5.835205,20700400
1994-09-01,9.968750,10.031250,9.000000,9.125000,5.324623,21939600
1994-10-01,9.062500,9.312500,7.750000,8.343750,4.950693,58967200
1994-11-01,8.250000,8.343750,7.593750,7.875000,4.672560,51557600
1994-12-01,7.906250,7.906250,6.906250,7.156250,4.246099,38397200
1995-01-01,7.281250,8.250000,7.000000,8.218750,4.985610,32540000
1995-02-01,8.218750,8.531250,7.718750,7.968750,4.833956,24582400
1995-03-01,8.000000,8.093750,7.406250,7.968750,4.833956,15282000
1995-04-01,7.937500,8.093750,7.593750,7.937500,4.914859,26170800
1995-05-01,7.937500,8.562500,7.718750,8.406250,5.205104,15023200
1995-06-01,8.437500,9.437500,8.375000,9.218750,5.708200,30628000
1995-07-01,9.281250,9.312500,8.750000,8.843750,5.577827,13666000
1995-08-01,8.843750,9.312500,8.781250,9.218750,5.814341,10389200
1995-09-01,9.187500,10.375000,9.187500,10.000000,6.307080,15656800
